"Name","Category","RecommendedAction","Rationale","Files","Bytes","Path"
"GPU_G3_PorePressUpdate","ARCHIVE","Archive","Intermediate experiment directory","6","32785","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\GPU_G3_PorePressUpdate"
"GPU_G4_PressureOnlyParity","ARCHIVE","Archive","Intermediate experiment directory","6","32906","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\GPU_G4_PressureOnlyParity"
"GPU_G5_Feedback","ARCHIVE","Archive","Intermediate experiment directory","8","45739","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\GPU_G5_Feedback"
"GPU_G6_Stabilization","ARCHIVE","Archive","Intermediate experiment directory","12","77491","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\GPU_G6_Stabilization"
"L3e_ValidationPackage","KEEP_REPLAY","Keep","Current 1D validation/coupling/TINT package","22","1132696","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\L3e_ValidationPackage"
"RampSensitivity","ARCHIVE","Archive","Intermediate experiment directory","9","94916","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\RampSensitivity"
"Scenario2Sensitivity","ARCHIVE","Archive","Intermediate experiment directory","29","456151","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\Scenario2Sensitivity"
"SelfWeightLongRun","ARCHIVE","Archive","Intermediate experiment directory","4","23261","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightLongRun"
"SelfWeightUndrainedSweep","ARCHIVE","Archive","Intermediate experiment directory","70","828425","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SelfWeightUndrainedSweep"
"ShepardSmoke","ARCHIVE","Archive","Intermediate experiment directory","8","81211","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\ShepardSmoke"
"SmallLoadLadder","ARCHIVE","Archive","Intermediate experiment directory","8","47148","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\SmallLoadLadder"
"TINT1_PorePressureTimeIntegration","ARCHIVE","Archive","Intermediate experiment directory","1","672","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT1_PorePressureTimeIntegration"
"TINT2_PorePressureEndStepUpdate","KEEP_REPLAY","Keep","Current 1D validation/coupling/TINT package","57","1355827","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TINT2_PorePressureEndStepUpdate"
"TwoStageSmoke","ARCHIVE","Archive","Intermediate experiment directory","7","62794","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\01_1D_Consolidation\experiments\TwoStageSmoke"
"Analytical_Audit_A1","ARCHIVE","Archive","Intermediate experiment directory","22","1177833","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\Analytical_Audit_A1"
"Analytical_Audit_A2_InitialState","ARCHIVE","Archive","Intermediate experiment directory","32","2423610","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\Analytical_Audit_A2_InitialState"
"BoundaryGhostDiagnostics","ARCHIVE","Archive","Intermediate experiment directory","4","43415","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\BoundaryGhostDiagnostics"
"CPU_B1_BoundaryOperator","ARCHIVE","Archive","Intermediate experiment directory","26","345374","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\CPU_B1_BoundaryOperator"
"GPU_B4_BoundaryOperator","ARCHIVE","Archive","Intermediate experiment directory","10","206512","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_B4_BoundaryOperator"
"GPU_B5_BoundaryOperatorLong_Xi005","ARCHIVE","Archive","Intermediate experiment directory","23","1836100","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_B5_BoundaryOperatorLong_Xi005"
"GPU_G7_SelfWeightParity","ARCHIVE","Archive","Intermediate experiment directory","5","23228","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_G7_SelfWeightParity"
"GPU_G8_SelfWeightMedium","ARCHIVE","Archive","Intermediate experiment directory","7","42504","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_G8_SelfWeightMedium"
"GPU_G9_SelfWeightLong","ARCHIVE","Archive","Intermediate experiment directory","10","77474","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_G9_SelfWeightLong"
"GPU_G9b_SelfWeightLong_Xi005","ARCHIVE","Archive","Intermediate experiment directory","35","1516581","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_G9b_SelfWeightLong_Xi005"
"GPU_S1_BodyGravityStopLong","ARCHIVE","Archive","Intermediate experiment directory","37","1421858","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_S1_BodyGravityStopLong"
"GPU_S1_BodyGravityStopMedium","ARCHIVE","Archive","Intermediate experiment directory","35","1395919","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_S1_BodyGravityStopMedium"
"GPU_S1_BodyGravityStopShort","ARCHIVE","Archive","Intermediate experiment directory","47","1718901","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\GPU_S1_BodyGravityStopShort"
"H1_HydraulicMdbcBoundary","ARCHIVE","Archive","Intermediate experiment directory","37","2289314","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\H1_HydraulicMdbcBoundary"
"OldTodo","ARCHIVE","Archive","Intermediate experiment directory","2","1541","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\OldTodo"
"Operator_Audit_O1_Revised","ARCHIVE","Archive","Intermediate experiment directory","20","783034","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\Operator_Audit_O1_Revised"
"PaperFigures_Scenario1_BodyGravityStop","ARCHIVE","Archive","Intermediate experiment directory","34","1279789","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\PaperFigures_Scenario1_BodyGravityStop"
"PaperFigures_SelfWeightScenario2","ARCHIVE","Archive","Intermediate experiment directory","22","1718092","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\PaperFigures_SelfWeightScenario2"
"Visualization_Scenario1_2","ARCHIVE","Archive","Intermediate experiment directory","5","26019","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\02_SelfWeight_Consolidation\experiments\Visualization_Scenario1_2"
"C5_StrictSphere_CoarseSmoke","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","54","1934360","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5_StrictSphere_CoarseSmoke"
"C5b_StrictSphere_Refinement","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","33","1000386","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5b_StrictSphere_Refinement"
"C5c_CurvedBoundaryCoupling","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","37","1305430","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5c_CurvedBoundaryCoupling"
"C5d_BoundaryQuadrature","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","43","1647938","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5d_BoundaryQuadrature"
"C5e_BoundaryParticleDrained","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","36","1246706","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5e_BoundaryParticleDrained"
"C5f_BoundaryParticleWeighting","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","41","1607680","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5f_BoundaryParticleWeighting"
"C5g_GeometryDpDiagnostic","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","48","1566071","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5g_GeometryDpDiagnostic"
"C5h_HigherResolutionSphere","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","48","1917753","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5h_HigherResolutionSphere"
"C5i_Dp005FullTimeLongRun","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","4","10005","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5i_Dp005FullTimeLongRun"
"C5i_SphericalDiffusionFluxCalibration","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","32","2122110","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5i_SphericalDiffusionFluxCalibration"
"C5j_MLSBoundaryFlux","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","30","1294919","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5j_MLSBoundaryFlux"
"C5k_RadialShellFluxBoundary","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","32","1692622","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5k_RadialShellFluxBoundary"
"C5l_RadialOperatorAudit","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","32","2004125","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5l_RadialOperatorAudit"
"C5m_ConservativeShellExchange","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","43","3189209","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5m_ConservativeShellExchange"
"C5n_CorrectedLaplacian","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","38","1556302","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5n_CorrectedLaplacian"
"C5o_CorrectedLaplacianStabilization","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","43","2104781","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\C5o_CorrectedLaplacianStabilization"
"drained_curved_boundary_C4C","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","38","1548765","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\drained_curved_boundary_C4C"
"figures","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","12","446128","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\figures"
"flexible_confining_stress_C4B3","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","21","573022","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\flexible_confining_stress_C4B3"
"flexible_confining_stress_C4B4_FreeSphere","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","28","783862","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\flexible_confining_stress_C4B4_FreeSphere"
"hydraulic_no_elevation_C4D","ARCHIVE_DEPRECATED","Archive","Cryer experimental/deprecated route","41","1748607","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\03_Cryer_Problem\strict_reproduction_plan\hydraulic_no_elevation_C4D"
"M2_MCCSinglePoint","ARCHIVE","Archive","Intermediate experiment directory","1","743","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M2_MCCSinglePoint"
"M3b_MCCParserStateInit","ARCHIVE","Archive","Intermediate experiment directory","9","24324","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3b_MCCParserStateInit"
"M3c_MCCStressUpdateCpu","ARCHIVE","Archive","Intermediate experiment directory","41","1280148","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3c_MCCStressUpdateCpu"
"M3d_MCCFeedbackOffRefinement","ARCHIVE","Archive","Intermediate experiment directory","75","3066398","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d_MCCFeedbackOffRefinement"
"M3d2_MCCReturnRobustness","ARCHIVE","Archive","Intermediate experiment directory","55","3498386","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d2_MCCReturnRobustness"
"M3d3_MCCSubstepping","ARCHIVE","Archive","Intermediate experiment directory","67","5818527","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3d3_MCCSubstepping"
"M3e_MCCFeedbackOffPackage","KEEP_PACKAGE","Keep package summaries","Final caveated MCC package","37","2140411","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3e_MCCFeedbackOffPackage"
"M3f_MCCReturnStagingRefinement","ARCHIVE","Archive","Intermediate experiment directory","54","3917994","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3f_MCCReturnStagingRefinement"
"M3h_MCCAdmissibleReturn","ARCHIVE","Archive","Intermediate experiment directory","60","3455621","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3h_MCCAdmissibleReturn"
"M3i_MCCCaveatedReducedPackage","KEEP_PACKAGE","Keep package summaries","Final caveated MCC package","35","1380389","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3i_MCCCaveatedReducedPackage"
"M3j_BoundaryFailureAudit","ARCHIVE","Archive","Intermediate experiment directory","14","7913402","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3j_BoundaryFailureAudit"
"M3k_PlatenEdgeDenseDiagnostic","ARCHIVE","Archive","Intermediate experiment directory","31","10381975","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3k_PlatenEdgeDenseDiagnostic"
"M3l_PlatenSpecimenSmoothing","ARCHIVE","Archive","Intermediate experiment directory","43","7114493","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3l_PlatenSpecimenSmoothing"
"M3m_RefinedPlatenEdgeGeometry","ARCHIVE","Archive","Intermediate experiment directory","54","3363925","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3m_RefinedPlatenEdgeGeometry"
"M3n_SmoothLayoutDiagnostic","ARCHIVE","Archive","Intermediate experiment directory","49","2263350","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3n_SmoothLayoutDiagnostic"
"M3o_SmoothFanLayoutPrototype","ARCHIVE","Archive","Intermediate experiment directory","19","1152526","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\M3o_SmoothFanLayoutPrototype"
"T1_UndrainedTriaxialBaseline","ARCHIVE","Archive","Intermediate experiment directory","24","424133","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T1_UndrainedTriaxialBaseline"
"T3_FlexibleConfinementDiagnostics","ARCHIVE","Archive","Intermediate experiment directory","31","975842","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T3_FlexibleConfinementDiagnostics"
"T4_StressPathPostprocessing","ARCHIVE","Archive","Intermediate experiment directory","35","1177875","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4_StressPathPostprocessing"
"T4b_RenormalizedConfinement","ARCHIVE","Archive","Intermediate experiment directory","32","1110498","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4b_RenormalizedConfinement"
"T4c_LoadingStabilization","ARCHIVE","Archive","Intermediate experiment directory","37","1460605","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4c_LoadingStabilization"
"T4d_ConfinementEquilibration","ARCHIVE","Archive","Intermediate experiment directory","40","1300386","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4d_ConfinementEquilibration"
"T4e_FeedbackGatedConfinement","ARCHIVE","Archive","Intermediate experiment directory","41","1537761","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4e_FeedbackGatedConfinement"
"T4f_FeedbackStabilization","ARCHIVE","Archive","Intermediate experiment directory","47","1776916","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4f_FeedbackStabilization"
"T4g_FeedbackFormulationAudit","ARCHIVE","Archive","Intermediate experiment directory","44","1294712","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4g_FeedbackFormulationAudit"
"T4h_CorrectedFeedback","ARCHIVE","Archive","Intermediate experiment directory","38","934530","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4h_CorrectedFeedback"
"T4j_PaperStyleFeedback","ARCHIVE","Archive","Intermediate experiment directory","37","951095","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4j_PaperStyleFeedback"
"T4k_InitialConfinementEquilibrium","ARCHIVE","Archive","Intermediate experiment directory","36","795945","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4k_InitialConfinementEquilibrium"
"T4l_FullHydrostaticConfinement","ARCHIVE","Archive","Intermediate experiment directory","36","1075521","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4l_FullHydrostaticConfinement"
"T4m_AllSurfaceIsotropicConfinement","ARCHIVE","Archive","Intermediate experiment directory","43","1555556","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4m_AllSurfaceIsotropicConfinement"
"T4n_StagedConfinementSwitch","ARCHIVE","Archive","Intermediate experiment directory","46","734593","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4n_StagedConfinementSwitch"
"T4n2_RestartEquilibriumAudit","ARCHIVE","Archive","Intermediate experiment directory","32","646271","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4n2_RestartEquilibriumAudit"
"T4o_CapSupportStagedLoading","ARCHIVE","Archive","Intermediate experiment directory","42","1202015","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4o_CapSupportStagedLoading"
"T4q_PlatenBoundaryWorkflow","ARCHIVE","Archive","Intermediate experiment directory","37","942233","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4q_PlatenBoundaryWorkflow"
"T4r_PlatenReactionDiagnostics","ARCHIVE","Archive","Intermediate experiment directory","40","1177362","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4r_PlatenReactionDiagnostics"
"T4s_PlatenAxialBaseline","ARCHIVE","Archive","Intermediate experiment directory","47","1619980","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4s_PlatenAxialBaseline"
"T4t_TruePlatenReaction","ARCHIVE","Archive","Intermediate experiment directory","64","2277469","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T4t_TruePlatenReaction"
"T5_DPFeedbackOffBaseline","ARCHIVE","Archive","Intermediate experiment directory","50","1651032","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T5_DPFeedbackOffBaseline"
"T5b_DPFeedbackOffRefinement","ARCHIVE","Archive","Intermediate experiment directory","73","2623926","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T5b_DPFeedbackOffRefinement"
"T5c_DPExtendedFeedbackOff","ARCHIVE","Archive","Intermediate experiment directory","78","3007184","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T5c_DPExtendedFeedbackOff"
"T5d_DPFeedbackOffPackage","ARCHIVE","Archive","Intermediate experiment directory","33","1276019","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\04_Undrained_Triaxial\experiments\T5d_DPFeedbackOffPackage"
"SofteningMicro","ARCHIVE","Archive","Intermediate experiment directory","14","29491","D:\MYF\SPH\GeoDualSPHysics_v5.2\examples\u-pw\05_Retrogressive_Slope\experiments\SofteningMicro"
